Sl.,Voucher No.,Trans. Date,Value Date,Narration,Dr,Cr
32,JQ3639,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216753044// RFX35T24U6IBSTX//14000010000/BTK/47470.000                                                                       ,385.3,0
33,JQ3806,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216753133// RFX66TL4MWZEO2M//14000010000/BTK/38780.000                                                                       ,314.77,0
34,JQ4390,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216753452// RFX41GC557QASQP//14000010000/BTK/50004.000                                                                       ,405.87,0
35,JQ5938,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216754345// RFX41TIMFMQMOJ0//14000010000/BTK/50004.000                                                                       ,405.87,0
36,JQ6229,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216754512// RFX66CHNFORQVMS//14000010000/BTK/30470.000                                                                       ,247.32,0
37,JQ6411,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216754643// RFX41EQSXFC54B9//14000010000/BTK/38725.000                                                                       ,314.32,0
38,JQ6498,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216754714// RFX35KWU0LO1VGH//14000010000/BTK/27708.000                                                                       ,224.9,0
39,JQ6579,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216754765// RFX3514EOFYSQLS//14000010000/BTK/70584.000                                                                       ,572.92,0
40,JQ7303,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216755171// RFX35ESCA0IG50A//14000010000/BTK/42904.000                                                                       ,348.24,0
41,JQ8001,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216755539// RFX35CRNHBSIB1W//14000010000/BTK/38752.000                                                                       ,314.54,0
42,JQ9263,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216756350// RFX41KHUXWXZ8Z2//14000010000/BTK/27780.000                                                                       ,225.48,0
43,JQ9363,1-Apr-25,1-Apr-25,CASH RECD-ICTC 216756420// RFX41RWXFSUD0X4//14000010000/BTK/38892.000                                                                       ,315.68,0
44,JS6102,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766834// RFX41KGIEP7GGH7//14000010000/BTK/41393.000                                                                       ,335.98,0
45,JS6204,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766848// RFX4168X6NQ00UY//14000010000/BTK/33300.000                                                                       ,270.29,0
46,JS6205,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766849// RFX664LNL9H2HTD//14000010000/BTK/50026.000                                                                       ,406.05,0
47,JS6248,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766857// RFX41XBJUL3S01E//14000010000/BTK/26085.000                                                                       ,211.72,0
48,JS6263,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766861// RFX35B6O8YYIQK7//14000010000/BTK/69428.000                                                                       ,563.53,0
49,JS6264,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766862// RFX353ZO1CF64OH//14000010000/BTK/50018.000                                                                       ,405.99,0
50,JS6265,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766863// RFX41XLC3WRUKHH//14000010000/BTK/27750.000                                                                       ,225.24,0
51,JS6273,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766870// RFX41QJP5BT9RLN//14000010000/BTK/30281.000                                                                       ,245.78,0
52,JS6302,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766876// RFX41EN1TW7EV79//14000010000/BTK/41948.000                                                                       ,340.48,0
53,JS6308,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766877// RFX308KNHGYSSNJ//14000010000/BTK/82883.000                                                                       ,672.75,0
54,JS6314,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766881// RFX41OEQ13368I2//14000010000/BTK/96953.000                                                                       ,786.95,0
55,JS6315,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766882// RFX41A8WE46H234//14000010000/BTK/40099.000                                                                       ,325.47,0
56,JS6328,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766888// RFX41CZ45LB687J//14000010000/BTK/30558.000                                                                       ,248.03,0
57,JS6329,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766889// RFX41C5V91UHLT1//14000010000/BTK/84499.000                                                                       ,685.86,0
58,JS6339,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766890// RFX41FHEO7YPO01//14000010000/BTK/44171.000                                                                       ,358.53,0
59,JS6380,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766897// RFX309RWRRP2YU0//14000010000/BTK/56826.000                                                                       ,461.25,0
60,JS6381,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766898// RFX30KXCA4B22N3//14000010000/BTK/60014.000                                                                       ,487.12,0
61,JS6388,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766899// RFX4149LAWWX2KI//14000010000/BTK/53671.000                                                                       ,435.64,0
62,JS6403,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766901// RFX4124SWYZTDK4//14000010000/BTK/33011.000                                                                       ,267.94,0
63,JS6414,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766906// RFX30NDJYTH9Z5W//14000010000/BTK/77318.000                                                                       ,627.58,0
64,JS6415,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766907// RFX30WQ4CZENUO9//14000010000/BTK/48324.000                                                                       ,392.24,0
65,JS6432,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766917// RFX35IOAL8QZVIP//14000010000/BTK/16666.000                                                                       ,135.27,0
66,JS6441,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766919// RFX66BIQLA64O0I//14000010000/BTK/59278.000                                                                       ,481.15,0
67,JS6445,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766921// RFX6672SGVDRMIG//14000010000/BTK/100025.000                                                                      ,811.89,0
68,JS6455,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766923// RFX30P9O4NAQ0FU//14000010000/BTK/63479.000                                                                       ,515.25,0
69,JS6465,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766928// RFX414AYR6C1TPM//14000010000/BTK/52782.000                                                                       ,428.42,0
70,JS6466,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766929// RFX66EU04EW87A8//14000010000/BTK/42021.000                                                                       ,341.07,0
71,JS6473,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766930// RFX30KEWP41EPZV//14000010000/BTK/51005.000                                                                       ,414,0
72,JS6475,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766932// RFX30G7F8NB26ER//14000010000/BTK/100291.000                                                                      ,814.05,0
73,JS6476,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766933// RFX41WD3IG2O0QN//14000010000/BTK/52505.000                                                                       ,426.17,0
74,JS6486,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766935// RFX41PW660Y7SO3//14000010000/BTK/44171.000                                                                       ,358.53,0
75,JS6489,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766937// RFX30GAR2RWBQ2Z//14000010000/BTK/36036.000                                                                       ,292.5,0
76,JS6490,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766939// RFX66KMGK523VIU//14000010000/BTK/31855.000                                                                       ,258.56,0
77,JS6505,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766941// RFX30BAIZYTW3DR//14000010000/BTK/55163.000                                                                       ,447.75,0
78,JS6511,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766942// RFX66DCKSQ6U41T//14000010000/BTK/50137.000                                                                       ,406.95,0
79,JS6522,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766945// RFX41JAE6ZYTRQ2//14000010000/BTK/27503.000                                                                       ,223.23,0
80,JS6523,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766947// RFX357SDOR0ZP8D//14000010000/BTK/27680.000                                                                       ,224.67,0
81,JS6525,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766948// RFX300JZWS5AHI1//14000010000/BTK/49896.000                                                                       ,405,0
82,JS6534,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766950// RFX30TLL1L1XABY//14000010000/BTK/27720.000                                                                       ,225,0
83,JS6535,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766951// RFX30916KQNMWWD//14000010000/BTK/94470.000                                                                       ,766.8,0
84,JS6540,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766952// RFX30RJ91J600AH//14000010000/BTK/30021.000                                                                       ,243.67,0
85,JS6547,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766955// RFX30MC9SOEBCZP//14000010000/BTK/60707.000                                                                       ,492.75,0
86,JS6548,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766956// RFX30P3W5OFNU04//14000010000/BTK/55440.000                                                                       ,450,0
87,JS6549,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766957// RFX3037JYTGVL13//14000010000/BTK/38808.000                                                                       ,315,0
88,JS6551,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766958// RFX30NO23UV16JZ//14000010000/BTK/27443.000                                                                       ,222.75,0
89,JS6552,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766960// RFX41AV91SG03E3//14000010000/BTK/13613.000                                                                       ,110.49,0
90,JS6553,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766961// RFX30BTSVW9MMWE//14000010000/BTK/40194.000                                                                       ,326.25,0
91,JS6560,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766964// RFX300P8RN6TX0Q//14000010000/BTK/41580.000                                                                       ,337.5,0
92,JS6561,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766965// RFX30Q66B6CDZSU//14000010000/BTK/46847.000                                                                       ,380.25,0
93,JS6562,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766966// RFX30092VHRHM28//14000010000/BTK/37422.000                                                                       ,303.75,0
94,JS6563,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766967// RFX30NSZOYUHAJW//14000010000/BTK/90090.000                                                                       ,731.25,0
95,JS6571,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766972// RFX30JP76C5SIA4//14000010000/BTK/90035.000                                                                       ,730.8,0
96,JS6584,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766974// RFX4199E21WH6DA//14000010000/BTK/55500.000                                                                       ,450.48,0
97,JS6593,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766975// RFX41EDMR8XKLV6//14000010000/BTK/49950.000                                                                       ,405.43,0
98,JS6595,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766977// RFX41E994UC2MH7//14000010000/BTK/58254.000                                                                       ,472.84,0
99,JS6604,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766980// RFX41QMVFXZUHPE//14000010000/BTK/41610.000                                                                       ,337.74,0
100,JS6608,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766981// RFX35UFAP4CCRFB//14000010000/BTK/41668.000                                                                       ,338.21,0
101,JS6612,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766986// RFX3013NGZUY9S2//14000010000/BTK/20236.000                                                                       ,164.25,0
102,JS6613,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766987// RFX41RIRJHA2JAI//14000010000/BTK/100003.000                                                                      ,811.71,0
103,JS6623,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766993// RFX66TU43KDK3FB//14000010000/BTK/24930.000                                                                       ,202.35,0
104,JS6625,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766996// RFX30IV8YDA1QUS//14000010000/BTK/70021.000                                                                       ,568.35,0
105,JS6631,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216766998// RFX41SHHYHH6PSQ//14000010000/BTK/60839.000                                                                       ,493.82,0
106,JS6633,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767001// RFX30SY07TNG5GJ//14000010000/BTK/55227.000                                                                       ,448.27,0
107,JS6639,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767004// RFX308U5EO2FNUU//14000010000/BTK/60846.000                                                                       ,493.87,0
108,JS6641,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767006// RFX30WU23MO13P8//14000010000/BTK/80028.000                                                                       ,649.57,0
109,JS6642,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767007// RFX30E0CTU0FPRB//14000010000/BTK/36036.000                                                                       ,292.5,0
110,JS6643,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767008// RFX30FU9D0UHAWJ//14000010000/BTK/41580.000                                                                       ,337.5,0
111,JS6644,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767009// RFX41HXUBGCOZB6//14000010000/BTK/24975.000                                                                       ,202.71,0
112,JS6645,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767010// RFX41T10IWW0QHQ//14000010000/BTK/50210.000                                                                       ,407.54,0
113,JS6646,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767013// RFX41G9BVWPCZS6//14000010000/BTK/60005.000                                                                       ,487.05,0
114,JS6661,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767017// RFX419V2II75GC2//14000010000/BTK/25002.000                                                                       ,202.93,0
115,JS6667,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767018// RFX66S5XND910W9//14000010000/BTK/42243.000                                                                       ,342.88,0
116,JS6669,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767019// RFX419UI3PUPASK//14000010000/BTK/90155.000                                                                       ,731.77,0
117,JS6672,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767025// RFX41PVMUD03WGJ//14000010000/BTK/63802.000                                                                       ,517.87,0
118,JS6698,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767039// RFX30VITOM94YP3//14000010000/BTK/54896.000                                                                       ,445.58,0
119,JS6701,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767043// RFX41BKSNQ2WY56//14000010000/BTK/60514.000                                                                       ,491.18,0
120,JS6711,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767046// RFX41AU18G05N28//14000010000/BTK/50004.000                                                                       ,405.87,0
121,JS6714,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767048// RFX66ABP04124S9//14000010000/BTK/41550.000                                                                       ,337.25,0
122,JS6725,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767053// RFX66IZUQ20TRKI//14000010000/BTK/41273.000                                                                       ,335,0
123,JS6726,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767054// RFX41E4E7CI3E13//14000010000/BTK/72124.000                                                                       ,585.42,0
124,JS6727,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767055// RFX41LUFU2QGMWI//14000010000/BTK/25002.000                                                                       ,202.93,0
125,JS6728,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767058// RFX41PWKZFGNUEG//14000010000/BTK/69073.000                                                                       ,560.65,0
126,JS6729,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767059// RFX41KROLV8MOYC//14000010000/BTK/30015.000                                                                       ,243.62,0
127,JS6739,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767068// RFX41J6AC44Q7PH//14000010000/BTK/26344.000                                                                       ,213.83,0
128,JS6741,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767071// RFX417PV3EGH5EQ//14000010000/BTK/17780.000                                                                       ,144.31,0
129,JS6759,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767088// RFX41MH144HLGCY//14000010000/BTK/20001.000                                                                       ,162.34,0
130,JS6760,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767089// RFX411M0IDV8I7O//14000010000/BTK/40209.000                                                                       ,326.37,0
131,JS6762,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767097// RFX41QN7UY3U8QF//14000010000/BTK/36114.000                                                                       ,293.13,0
132,JS6763,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767109// RFX66L83XGGKXK6//14000010000/BTK/8295.000                                                                        ,67.32,0
133,JS6764,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767112// RFX41U9UF21PXAO//14000010000/BTK/69350.000                                                                       ,562.9,0
134,JS6771,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767119// RFX66MMVIVOMJQQ//14000010000/BTK/30470.000                                                                       ,247.32,0
135,JS6773,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767124// RFX41T4A5ESCYNK//14000010000/BTK/53539.000                                                                       ,434.56,0
136,JS6777,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767131// RFX661Q0D2I3FFY//14000010000/BTK/83100.000                                                                       ,674.51,0
137,JS6843,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767139// RFX41STN6QLHWXV//14000010000/BTK/69350.000                                                                       ,562.9,0
138,JS6873,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767146// RFX41QOLLSFFR2T//14000010000/BTK/50210.000                                                                       ,407.54,0
139,JS6899,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767172// RFX414WE3Y60Z4A//14000010000/BTK/71292.000                                                                       ,578.66,0
140,JS6930,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767187// RFX41GTO129SW02//14000010000/BTK/22224.000                                                                       ,180.38,0
141,JS6970,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767213// RFX30VWJOSR5DBU//14000010000/BTK/35011.000                                                                       ,284.18,0
142,JS6978,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767228// RFX41BQOZOPKUUQ//14000010000/BTK/41393.000                                                                       ,335.98,0
143,JS7022,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767245// RFX4187BH9D4LCW//14000010000/BTK/69450.000                                                                       ,563.71,0
144,JS7117,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767305// RFX413EJK9S105U//14000010000/BTK/61050.000                                                                       ,495.53,0
145,JS7136,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767321// RFX41ZWY88KCV1L//14000010000/BTK/72228.000                                                                       ,586.26,0
146,JS7138,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767325// RFX41HEM0T60VGK//14000010000/BTK/77507.000                                                                       ,629.11,0
147,JS7139,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767326// RFX6679VAAQORT7//14000010000/BTK/44320.000                                                                       ,359.74,0
148,JS7140,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767327// RFX66Z6NF93S0UI//14000010000/BTK/49583.000                                                                       ,402.45,0
149,JS7174,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767357// RFX66YW2IJBGK0D//14000010000/BTK/83017.000                                                                       ,673.83,0
150,JS7218,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767400// RFX30H6EG523VYW//14000010000/BTK/29384.000                                                                       ,238.5,0
151,JS7274,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767437// RFX302GFLMMO5L4//14000010000/BTK/49896.000                                                                       ,405,0
152,JS7278,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767440// RFX303SMCRFEVNW//14000010000/BTK/32987.000                                                                       ,267.75,0
153,JS7308,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767462// RFX3034TH5R7N8U//14000010000/BTK/38531.000                                                                       ,312.75,0
154,JS7313,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767464// RFX66ZWIQQT2SBD//14000010000/BTK/70026.000                                                                       ,568.39,0
155,JS7326,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767483// RFX3092FFMR370R//14000010000/BTK/22176.000                                                                       ,180,0
156,JS7354,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767497// RFX66HA707RFVRN//14000010000/BTK/51014.000                                                                       ,414.07,0
157,JS7366,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767512// RFX30HZR2OO2Y11//14000010000/BTK/22176.000                                                                       ,180,0
158,JS7442,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767571// RFX30I39A5F4L1X//14000010000/BTK/55440.000                                                                       ,450,0
159,JS7456,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767580// RFX304OKXK42FG7//14000010000/BTK/97603.000                                                                       ,792.23,0
160,JS7461,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767594// RFX30PG0R58AWDB//14000010000/BTK/48788.000                                                                       ,396,0
161,JS7464,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767599// RFX692F8XMWN6N2//14000010000/BTK/49428.000                                                                       ,401.2,0
162,JS7560,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767645// RFX41BQSJNY4D9O//14000010000/BTK/66395.000                                                                       ,538.92,0
163,JS7627,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767694// RFX41AAP464I1Z5//14000010000/BTK/40004.000                                                                       ,324.7,0
164,JS7635,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216767697// RFX41YTN7OTNDFR//14000010000/BTK/99731.000                                                                       ,809.5,0
165,JS8553,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768318// RFX41V6KIMXP4JJ//14000010000/BTK/110843.000                                                                      ,899.69,0
166,JS8561,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768322// RFX41641Y0QY5ZJ//14000010000/BTK/166680.000                                                                      ,1352.92,0
167,JS8562,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768324// RFX41JG4PY0U132//14000010000/BTK/231963.000                                                                      ,1882.81,0
168,JS8577,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768328// RFX352DMJLK8YRF//14000010000/BTK/110471.000                                                                      ,896.68,0
169,JS8608,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768333// RFX41Y93UPM27EH//14000010000/BTK/166680.000                                                                      ,1352.92,0
170,JS8611,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768336// RFX41G3KS77A2Z0//14000010000/BTK/276134.000                                                                      ,2241.34,0
171,JS8614,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768340// RFX41IK72DO0GOM//14000010000/BTK/127511.000                                                                      ,1034.99,0
172,JS8618,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768344// RFX306ZIRPRCIXH//14000010000/BTK/138600.000                                                                      ,1125,0
173,JS8624,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768347// RFX30B902NOYK1V//14000010000/BTK/107693.000                                                                      ,874.13,0
174,JS8626,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768350// RFX30MOF9007JLL//14000010000/BTK/200056.000                                                                      ,1623.83,0
175,JS8628,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216768352// RFX30J4K4NJHG5F//14000010000/BTK/200000.000                                                                      ,1623.37,0
