File,Journal No,Journal Date,Account,Amount_Debit,Amount_Credit,Description,Currency Code,Exchange Rate
RFX,MM80857,4/4/2025,InstantCash,,302.87,RFX300CEVQ469K9,USD,4.4317859
RFX,MM80867,11/4/2025,InstantCash,,222.76,RFX300D2524ZJUE,USD,4.4600223
RFX,MM80869,5/4/2025,InstantCash,,168.68,RFX300D3HJ8SL6V,USD,4.4317859
RFX,MM80875,17/4/2025,InstantCash,,225.04,RFX300D8A7G5Q29,USD,4.4240063
RFX,MM80899,11/4/2025,InstantCash,,334.14,RFX300F57FHLLPI,USD,4.4600223
RFX,MM80903,16/4/2025,InstantCash,,247.55,RFX300FOSW1N8UR,USD,4.4289896
RFX,MM80905,21/4/2025,InstantCash,,349.61,RFX300FR7IPR0VO,USD,4.4166072
RFX,MM80911,7/4/2025,InstantCash,,336.17,RFX300FUSSK9WXH,USD,4.4340335
RFX,MM80917,8/4/2025,InstantCash,,245.3,RFX300G3WBWK0A1,USD,4.4510958
RFX,MM80927,7/4/2025,InstantCash,,433.1,RFX300GMNYQ90S2,USD,4.4340335
RFX,MM80929,22/4/2025,InstantCash,,362.88,RFX300H0FX2LOZX,USD,4.4134697
RFX,MM80959,3/4/2025,InstantCash,,562.75,RFX300IICWMN9RS,USD,4.4332058
RFX,MM80973,11/4/2025,InstantCash,,174.87,RFX300J7DSG8BVM,USD,4.4600223
RFX,MM80979,17/4/2025,InstantCash,,832,RFX300JJ25YXTCW,USD,4.4240063
RFX,MM80983,19/4/2025,InstantCash,,247.91,RFX300JNYZKU4VH,USD,4.4271778
RFX,MM80985,5/4/2025,InstantCash,,406.19,RFX300JT8KHMRI8,USD,4.4317859
RFX,MM80987,2/4/2025,InstantCash,,405,RFX300JZWS5AHI1,USD,4.4310425
RFX,MM80989,5/4/2025,InstantCash,,292.38,RFX300K1VMUIUR6,USD,4.4317859
RFX,MM80997,9/4/2025,InstantCash,,439.62,RFX300KCHJRKOSB,USD,4.4707229
RFX,MM81005,9/4/2025,InstantCash,,439.62,RFX300KQX7IXAPD,USD,4.4707229
RFX,MM81035,12/4/2025,InstantCash,,448.28,RFX300MCEMP4F08,USD,4.4600223
RFX,MM81041,5/4/2025,InstantCash,,368.85,RFX300MPB0OKQCN,USD,4.4317859
RFX,MM81043,4/4/2025,InstantCash,,849.84,RFX300MTDL29DTU,USD,4.4317859
RFX,MM81057,3/4/2025,InstantCash,,896.98,RFX300NMDPX041X,USD,4.4332058
RFX,MM81073,17/4/2025,InstantCash,,751.02,RFX300O5OSPPLHH,USD,4.4240063
RFX,MM81079,12/4/2025,InstantCash,,447.16,RFX300OO380LF7E,USD,4.4600223
RFX,MM81089,7/4/2025,InstantCash,,336.86,RFX300P64H39D0C,USD,4.4340335
RFX,MM81093,2/4/2025,InstantCash,,337.5,RFX300P8RN6TX0Q,USD,4.4310425
RFX,MM81103,6/4/2025,InstantCash,,292.38,RFX300PSQIC2SC2,USD,4.4324334
RFX,MM81109,19/4/2025,InstantCash,,178.04,RFX300Q36EJ3RE4,USD,4.4271778
RFX,MM81123,8/4/2025,InstantCash,,491.53,RFX300QFT1Y49WK,USD,4.4510958
RFX,MM81135,29/4/2025,InstantCash,,455.09,RFX300R0AJ4SLXW,USD,4.3677542
RFX,MM81139,30/4/2025,InstantCash,,325.2,RFX300R6TS24MJ8,USD,4.3429503
RFX,MM81141,8/4/2025,InstantCash,,266.59,RFX300R9D9A7VQ6,USD,4.4510958
RFX,MM81149,13/4/2025,InstantCash,,410.95,RFX300ROSPRRPIV,USD,4.4600223
RFX,MM81151,8/4/2025,InstantCash,,654.53,RFX300S09RPL5RZ,USD,4.4510958
RFX,MM81161,20/4/2025,InstantCash,,259.18,RFX300SDN13WRV1,USD,4.4271778
RFX,MM81165,8/4/2025,InstantCash,,323.36,RFX300SGJCSN183,USD,4.4510958
RFX,MM81173,8/4/2025,InstantCash,,334.26,RFX300T2NRU9NJH,USD,4.4510958
RFX,MM81177,19/4/2025,InstantCash,,270.44,RFX300T87GDH5P8,USD,4.4271778
RFX,MM81187,18/4/2025,InstantCash,,2391.56,RFX300TRNXRYZP8,USD,4.4271778
RFX,MM81193,14/4/2025,InstantCash,,355.56,RFX300TXBO9NX9R,USD,4.4471928
RFX,MM81199,20/4/2025,InstantCash,,415.34,RFX300U2V4KWAV8,USD,4.4271778
RFX,MM81203,14/4/2025,InstantCash,,892.28,RFX300U49XVMQYK,USD,4.4471928
RFX,MM81207,6/4/2025,InstantCash,,326.12,RFX300UF2YPEHTW,USD,4.4324334
RFX,MM81213,22/4/2025,InstantCash,,404.21,RFX300UVCLXEYOS,USD,4.4134697
RFX,MM81225,14/4/2025,InstantCash,,409.9,RFX300V7D9TEGPS,USD,4.4471928
RFX,MM81237,10/4/2025,InstantCash,,661.31,RFX300VQW98WIR2,USD,4.4671047
RFX,MM81251,28/4/2025,InstantCash,,362.77,RFX300WAAHFM94Q,USD,4.3801959
RFX,MM81257,13/4/2025,InstantCash,,245.94,RFX300WRAHX2JDE,USD,4.4600223
RFX,MM81261,14/4/2025,InstantCash,,436.78,RFX300WWRMCIRD5,USD,4.4471928
RFX,MM81263,15/4/2025,InstantCash,,269.65,RFX300X0IG8GUL4,USD,4.4438887
RFX,MM81275,9/4/2025,InstantCash,,637.98,RFX300XNHSJWOHV,USD,4.4707229
RFX,MM81279,8/4/2025,InstantCash,,224.67,RFX300XUX7OE0G1,USD,4.4510958
RFX,MM81289,15/4/2025,InstantCash,,233.79,RFX300YUAKK6MJN,USD,4.4438887
RFX,MM81297,9/4/2025,InstantCash,,174.69,RFX300Z4A24O1M0,USD,4.4707229
RFX,MM81333,12/4/2025,InstantCash,,176.62,RFX30117JJL1EYQ,USD,4.4600223
RFX,MM81335,18/4/2025,InstantCash,,245.92,RFX3011B914YIKW,USD,4.4271778
RFX,MM81341,11/4/2025,InstantCash,,332.31,RFX3011IV1LVP91,USD,4.4600223
RFX,MM81353,17/4/2025,InstantCash,,225.04,RFX30122ORM3IUC,USD,4.4240063
RFX,MM81357,17/4/2025,InstantCash,,267.8,RFX30127UKWTWKN,USD,4.4240063
RFX,MM81359,14/4/2025,InstantCash,,222.15,RFX30129GLLQGW5,USD,4.4471928
RFX,MM81371,5/4/2025,InstantCash,,380.5,RFX3012UDRUJF5S,USD,4.4317859
RFX,MM81379,13/4/2025,InstantCash,,478.87,RFX3013560PUPPP,USD,4.4600223
RFX,MM81391,2/4/2025,InstantCash,,164.25,RFX3013NGZUY9S2,USD,4.4310425
RFX,MM81393,5/4/2025,InstantCash,,229.41,RFX3013OYLOQ0P7,USD,4.4317859
RFX,MM81395,8/4/2025,InstantCash,,569.12,RFX3013PG4B5PGH,USD,4.4510958
RFX,MM81399,5/4/2025,InstantCash,,404.83,RFX3013RPHXGEVM,USD,4.4317859
RFX,MM81421,8/4/2025,InstantCash,,290.95,RFX3014VZX0E5BI,USD,4.4510958
RFX,MM81431,14/4/2025,InstantCash,,335.98,RFX301583S0AUC9,USD,4.4471928
RFX,MM81447,4/4/2025,InstantCash,,538.44,RFX3016B5QTEYF1,USD,4.4317859
RFX,MM81449,6/4/2025,InstantCash,,337.36,RFX3016FV4FN1OG,USD,4.4324334
RFX,MM81453,11/4/2025,InstantCash,,253.95,RFX3016YA2M8LWL,USD,4.4600223
RFX,MM81469,6/4/2025,InstantCash,,416.08,RFX30189E0S6ALK,USD,4.4324334
RFX,MM81477,20/4/2025,InstantCash,,238.89,RFX3018BSNPIQGT,USD,4.4271778
RFX,MM81483,7/4/2025,InstantCash,,325.4,RFX3018KL9AK58Y,USD,4.4340335
RFX,MM81491,22/4/2025,InstantCash,,223.81,RFX3018UI9U0KDT,USD,4.4134697
RFX,MM81493,2/4/2025,InstantCash,,315,RFX301939NHXRMZ,USD,4.4310425
RFX,MM81495,14/4/2025,InstantCash,,267.76,RFX30199OCBWJSB,USD,4.4471928
RFX,MM81501,8/4/2025,InstantCash,,398.73,RFX3019IKMN33CD,USD,4.4510958
RFX,MM81519,12/4/2025,InstantCash,,410.95,RFX301A7Y5W98F3,USD,4.4600223
RFX,MM81529,8/4/2025,InstantCash,,407.66,RFX301AP04B6ZVP,USD,4.4510958
RFX,MM81537,9/4/2025,InstantCash,,663.41,RFX301AS57R99I9,USD,4.4707229
RFX,MM81543,15/4/2025,InstantCash,,895.48,RFX301ATGB7EAJ5,USD,4.4438887
RFX,MM81551,9/4/2025,InstantCash,,342.76,RFX301B4BFX7MIU,USD,4.4707229
RFX,MM81553,7/4/2025,InstantCash,,1010.58,RFX301B5143ECPM,USD,4.4340335
RFX,MM81555,6/4/2025,InstantCash,,669.45,RFX301BBAGZ44RL,USD,4.4324334
RFX,MM81561,22/4/2025,InstantCash,,816.55,RFX301BKGB5QVXA,USD,4.4134697
RFX,MM81567,22/4/2025,InstantCash,,360.16,RFX301BX2R5VQUF,USD,4.4134697
RFX,MM81585,17/4/2025,InstantCash,,631.04,RFX301CTWRVXZS2,USD,4.4240063
RFX,MM81607,12/4/2025,InstantCash,,478.46,RFX301DS8QYDAN6,USD,4.4600223
RFX,MM81611,8/4/2025,InstantCash,,389.82,RFX301E0F2M99VK,USD,4.4510958
RFX,MM81641,9/4/2025,InstantCash,,240.6,RFX301FPAYO7TQZ,USD,4.4707229
RFX,MM81645,13/4/2025,InstantCash,,403.91,RFX301FX1US4L4B,USD,4.4600223
RFX,MM81649,9/4/2025,InstantCash,,351.17,RFX301G2TUYWRG5,USD,4.4707229
RFX,MM81651,16/4/2025,InstantCash,,315.06,RFX301G5ZYZLWW2,USD,4.4289896
RFX,MM81653,6/4/2025,InstantCash,,447.57,RFX301G7W4B0Y8Q,USD,4.4324334
RFX,MM81659,13/4/2025,InstantCash,,454.41,RFX301GLT30BVQH,USD,4.4600223
RFX,MM81677,15/4/2025,InstantCash,,1078.62,RFX301H75IQWKR8,USD,4.4438887
RFX,MM81679,5/4/2025,InstantCash,,290.14,RFX301HC3G0AZ5K,USD,4.4317859
RFX,MM81687,25/4/2025,InstantCash,,562.43,RFX301HSFAF2OTA,USD,4.3893019
RFX,MM81691,8/4/2025,InstantCash,,703.09,RFX301HVYTI8OW5,USD,4.4510958
RFX,MM81707,7/4/2025,InstantCash,,226.8,RFX301IXWAJU98O,USD,4.4340335
RFX,MM81717,13/4/2025,InstantCash,,857.43,RFX301JE2IJNL4T,USD,4.4600223
RFX,MM81723,5/4/2025,InstantCash,,829.47,RFX301JPLALN0IS,USD,4.4317859
RFX,MM81743,10/4/2025,InstantCash,,440.43,RFX301KI9B9G9CR,USD,4.4671047
RFX,MM81747,7/4/2025,InstantCash,,226.8,RFX301KR2ZHS9CF,USD,4.4340335
RFX,MM81755,19/4/2025,InstantCash,,1126.87,RFX301L0QQF4QAS,USD,4.4271778
RFX,MM81761,25/4/2025,InstantCash,,248.96,RFX301LL47I322X,USD,4.3893019
RFX,MM81777,6/4/2025,InstantCash,,438.57,RFX301N1MOMPATX,USD,4.4324334
RFX,MM81785,3/4/2025,InstantCash,,556.89,RFX301NANOVGC7A,USD,4.4332058
RFX,MM81797,8/4/2025,InstantCash,,565.33,RFX301NL6F2BWDN,USD,4.4510958
RFX,MM81801,13/4/2025,InstantCash,,333.13,RFX301NPMQH0WQ6,USD,4.4600223
RFX,MM81805,13/4/2025,InstantCash,,446.1,RFX301NZ2EANW70,USD,4.4600223
RFX,MM81827,26/4/2025,InstantCash,,270.01,RFX301P5SZNY75R,USD,4.3893019
RFX,MM81833,17/4/2025,InstantCash,,380.43,RFX301PAWIVJVXG,USD,4.4240063
RFX,MM81837,6/4/2025,InstantCash,,227.16,RFX301PC7QF7YAW,USD,4.4324334
RFX,MM81845,13/4/2025,InstantCash,,448.79,RFX301PLAVRQYB4,USD,4.4600223
RFX,MM81863,4/4/2025,InstantCash,,807.01,RFX301QCN13KLO1,USD,4.4317859
RFX,MM81865,7/4/2025,InstantCash,,82.04,RFX301QG807R4K6,USD,4.4340335
RFX,MM81869,8/4/2025,InstantCash,,244.19,RFX301QKRSZUK15,USD,4.4510958
RFX,MM81885,9/4/2025,InstantCash,,319.25,RFX301RGGG0D13W,USD,4.4707229
RFX,MM81893,6/4/2025,InstantCash,,337.36,RFX301RPYOAVLMQ,USD,4.4324334
RFX,MM81897,16/4/2025,InstantCash,,447.39,RFX301RXB00WJUS,USD,4.4289896
RFX,MM81905,13/4/2025,InstantCash,,245.94,RFX301S6T53ZJ8C,USD,4.4600223
RFX,MM81907,11/4/2025,InstantCash,,454.16,RFX301SA8CUJQYZ,USD,4.4600223
RFX,MM81931,2/4/2025,InstantCash,,436.5,RFX301TG0XQCMJ8,USD,4.4310425
RFX,MM81941,20/4/2025,InstantCash,,548.78,RFX301TWZSMQBPW,USD,4.4271778
RFX,MM81963,29/4/2025,InstantCash,,341.32,RFX301VA5V01IRN,USD,4.3677542
RFX,MM81967,8/4/2025,InstantCash,,223,RFX301VMB9W1H4O,USD,4.4510958
RFX,MM81969,4/4/2025,InstantCash,,446.76,RFX301VMLLZEG8Q,USD,4.4317859
RFX,MM81973,27/4/2025,InstantCash,,339.49,RFX301VTZBNUL4T,USD,4.3893019
RFX,MM81985,9/4/2025,InstantCash,,321.13,RFX301WTAQMO2IO,USD,4.4707229
RFX,MM81987,6/4/2025,InstantCash,,359.85,RFX301WZSZFUX6X,USD,4.4324334
RFX,MM81999,5/4/2025,InstantCash,,472.31,RFX301XTQDK04UA,USD,4.4317859
RFX,MM82001,6/4/2025,InstantCash,,121.71,RFX301Y1PC2931R,USD,4.4324334
RFX,MM82005,6/4/2025,InstantCash,,638.74,RFX301Y432FEDO5,USD,4.4324334
RFX,MM82007,15/4/2025,InstantCash,,334.82,RFX301YCLH0IB6L,USD,4.4438887
RFX,MM82009,12/4/2025,InstantCash,,335.37,RFX301YEFDW5DVC,USD,4.4600223
RFX,MM82013,16/4/2025,InstantCash,,874.31,RFX301YJMJ9RG5O,USD,4.4289896
RFX,MM82017,12/4/2025,InstantCash,,201.22,RFX301YVDVV4QU2,USD,4.4600223
RFX,MM82029,30/4/2025,InstantCash,,448.47,RFX301ZAYA9FI3K,USD,4.3429503
RFX,MM82031,18/4/2025,InstantCash,,560.66,RFX301ZC6Y9F2EE,USD,4.4271778
RFX,MM82033,20/4/2025,InstantCash,,225.37,RFX301ZDPYOM8TP,USD,4.4271778
RFX,MM82037,18/4/2025,InstantCash,,410.62,RFX301ZNU3BXJTH,USD,4.4271778
RFX,MM82039,16/4/2025,InstantCash,,337.57,RFX301ZO10CYXOI,USD,4.4289896
RFX,MM82041,25/4/2025,InstantCash,,67.71,RFX301ZOLFCWOVX,USD,4.3893019
RFX,MM82061,14/4/2025,InstantCash,,422.31,RFX3020PYZ06KEW,USD,4.4471928
RFX,MM82063,9/4/2025,InstantCash,,487.27,RFX3021D2IYP7H3,USD,4.4707229
RFX,MM82085,30/4/2025,InstantCash,,342.68,RFX30223O4SX5YP,USD,4.3429503
RFX,MM82107,17/4/2025,InstantCash,,112.68,RFX3022R6HHI4YB,USD,4.4240063
RFX,MM82111,16/4/2025,InstantCash,,334.71,RFX3023E1MPR3XJ,USD,4.4289896
RFX,MM82119,24/4/2025,InstantCash,,1016.06,RFX3023MRN8WTPK,USD,4.4017827
RFX,MM82121,21/4/2025,InstantCash,,270.41,RFX3023PQ7Y5UHJ,USD,4.4166072
RFX,MM82123,2/4/2025,InstantCash,,717.3,RFX3023RMC1EZLL,USD,4.4310425
RFX,MM82133,9/4/2025,InstantCash,,331.7,RFX30244VU6J74W,USD,4.4707229
RFX,MM82137,6/4/2025,InstantCash,,447.57,RFX3024A691UI1Q,USD,4.4324334
RFX,MM82149,23/4/2025,InstantCash,,478.28,RFX3025GSF58NNI,USD,4.4091429
RFX,MM82167,13/4/2025,InstantCash,,669.62,RFX3026N7J2VRI1,USD,4.4600223
RFX,MM82171,6/4/2025,InstantCash,,721.51,RFX3026UKEVGTBQ,USD,4.4324334
RFX,MM82173,16/4/2025,InstantCash,,81.69,RFX3026V1JFL50M,USD,4.4289896
RFX,MM82175,11/4/2025,InstantCash,,155.08,RFX3026X5KZPO9P,USD,4.4600223
RFX,MM82197,15/4/2025,InstantCash,,604.77,RFX3028RDAKORJ7,USD,4.4438887
RFX,MM82207,6/4/2025,InstantCash,,333.38,RFX3029N9CRY873,USD,4.4324334
RFX,MM82231,6/4/2025,InstantCash,,222.66,RFX302AY8QUJ755,USD,4.4324334
RFX,MM82241,2/4/2025,InstantCash,,405.9,RFX302BMFP91T0L,USD,4.4310425
RFX,MM82251,6/4/2025,InstantCash,,512.62,RFX302C3CY9HK2R,USD,4.4324334
RFX,MM82259,13/4/2025,InstantCash,,236.99,RFX302C7W5ZSBHY,USD,4.4600223
RFX,MM82269,9/4/2025,InstantCash,,267.57,RFX302CT0ZA2P1F,USD,4.4707229
RFX,MM82275,10/4/2025,InstantCash,,509.55,RFX302D79ZQNOBY,USD,4.4671047
RFX,MM82277,15/4/2025,InstantCash,,361.34,RFX302DCAU0PGYT,USD,4.4438887
RFX,MM82289,11/4/2025,InstantCash,,245.49,RFX302E946J4JTE,USD,4.4600223
RFX,MM82291,4/4/2025,InstantCash,,401.86,RFX302E9NAGVG06,USD,4.4317859
RFX,MM82305,13/4/2025,InstantCash,,514.23,RFX302FERT4JO5V,USD,4.4600223
RFX,MM82311,30/4/2025,InstantCash,,504.01,RFX302FQ74UVNOC,USD,4.3429503
RFX,MM82315,5/4/2025,InstantCash,,382.34,RFX302G13FLOB1B,USD,4.4317859
RFX,MM82319,30/4/2025,InstantCash,,712.96,RFX302G5UHBX18C,USD,4.3429503
RFX,MM82325,2/4/2025,InstantCash,,405,RFX302GFLMMO5L4,USD,4.4310425
RFX,MM82331,8/4/2025,InstantCash,,303.29,RFX302GP90EO7DC,USD,4.4510958
RFX,MM82337,9/4/2025,InstantCash,,814.89,RFX302H0UG2JKJJ,USD,4.4707229
RFX,MM82343,6/4/2025,InstantCash,,742.2,RFX302HG1DYLTNK,USD,4.4324334
RFX,MM82347,17/4/2025,InstantCash,,1121.86,RFX302HLM9SRI8H,USD,4.4240063
RFX,MM82351,6/4/2025,InstantCash,,503.8,RFX302HRTAZP8JB,USD,4.4324334
RFX,MM82355,3/4/2025,InstantCash,,1056.67,RFX302HZX0R4JO6,USD,4.4332058
RFX,MM82359,8/4/2025,InstantCash,,358.36,RFX302I3DX4ZXC9,USD,4.4510958
RFX,MM82363,4/4/2025,InstantCash,,919.39,RFX302I7NTAWEGF,USD,4.4317859
RFX,MM82391,8/4/2025,InstantCash,,666.47,RFX302JSVGVGB8L,USD,4.4510958
RFX,MM82393,7/4/2025,InstantCash,,629.26,RFX302JUKA0V5W8,USD,4.4340335
RFX,MM82399,19/4/2025,InstantCash,,81.58,RFX302K2MIGVLMV,USD,4.4271778
RFX,MM82417,16/4/2025,InstantCash,,225.04,RFX302KYX67VVF8,USD,4.4289896
RFX,MM82419,12/4/2025,InstantCash,,355.05,RFX302L0PRE6ZL3,USD,4.4600223
RFX,MM82431,20/4/2025,InstantCash,,1115.6,RFX302LIQ0JUN1R,USD,4.4271778
RFX,MM82447,8/4/2025,InstantCash,,787.35,RFX302MJMXST5PJ,USD,4.4510958
RFX,MM82475,10/4/2025,InstantCash,,675.71,RFX302PAISC6J5C,USD,4.4671047
RFX,MM82505,4/4/2025,InstantCash,,446.76,RFX302R1Q0JZ1KQ,USD,4.4317859
RFX,MM82523,8/4/2025,InstantCash,,178.4,RFX302S0V1HJTMC,USD,4.4510958
RFX,MM82537,5/4/2025,InstantCash,,447.57,RFX302SUKV6HT82,USD,4.4317859
RFX,MM82539,9/4/2025,InstantCash,,266.04,RFX302T0E1HI9CX,USD,4.4707229
RFX,MM82541,4/4/2025,InstantCash,,715.23,RFX302T31S1EFT6,USD,4.4317859
RFX,MM82555,5/4/2025,InstantCash,,761.99,RFX302TOXN1KJZB,USD,4.4317859
RFX,MM82561,6/4/2025,InstantCash,,685.53,RFX302TYQK4Y89B,USD,4.4324334
